celltype	emergence_time	key_TF	times_on_this_list	determined_score	edge	edge_weight	gene_ID	TF_family	avg_logFC_1	pct_1_1	pct_2_1	p_val_adj_1	avg_logFC_2	pct_1_2	pct_2_2	p_val_adj_2
EVL	hpf3.8	cebpb	3	1.60995938505304	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000042725	TF_bZIP	1.94602079584519	0.824	0.113	5.03304107167735e-14	2.07512956489641	0.824	0.071	8.61290697549983e-16
EVL	hpf3.8	grhl3	3	1.09197369170893	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000078552	CP2	1.63490905935993	0.824	0.109	1.17768041167297e-13	1.83843753852054	0.824	0.049	1.06546349476302e-18
EVL	hpf3.8	her6	10	0.653829263990179	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000006514	bHLH	1.47649056715461	0.765	0.055	6.21219292934574e-20	1.52166839895126	0.765	0.022	1.36280532499656e-21
EVL	hpf3.8	foxi1	5	0.462977015988181	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000104566	Fork_head	1.36019263740531	0.588	0.122	0.000116133356165191	1.4363159083513	0.588	0.066	1.33532618435765e-07
EVL	hpf3.8	klf2a	3	0.119536021382927	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000042667	zf-C2H2	1.15100637994312	0.529	0.103	0.000403537103715483	1.2826191939871	0.529	0.077	3.78214439925212e-05
EVL	hpf3.8	sox19a	2	-0.0424954705114395	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000010770	HMG	1.27054647049343	0.941	0.495	1.17699816658655e-05	0.967244694278798	0.941	0.536	0.00431246232452092
EVL	hpf3.8	klf17	4	-0.156661933860156	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000038792	zf-C2H2	1.06079280929111	1	0.653	0.00741384372777197	1.072194290391	1	0.579	0.00615411939963513
EVL	hpf3.8	gata3	3	-0.167307703752031	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000016526	zf-GATA	1.08598781304197	0.529	0.09	0.00010424016183549	1.03217543516937	0.529	0.071	9.26658544502838e-05
EVL	hpf3.8	tfap2a	6	-0.354937425668099	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000059279	AP-2	0.974066264273172	0.529	0.103	0.00024659017822514	0.945579110157566	0.529	0.104	0.00424972542369119
EVL	hpf3.8	si:ch211-202h22.8	2	-1.40939990006766	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000078138	zf-LITAF-like	0.404561694386259	0.176	0.003	4.64272145488977e-06	0.392717102071827	0.176	0.005	0.0315813600671766
EVL	hpf3.8	gbx1	8	-1.80747294426388	hpf3.8:EVL_hpf3.3:blastomere	1	ENSDARG00000071418	Homeobox	0.188489282946551	0.176	0.01	0.0123211224482254	0.185203376313313	0.176	0.005	0.037807773627048
margin	hpf4.3	mixl1	2	2.30411456474695	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000069252	Homeobox	1.70073580125726	0.698	0.049	5.14999196645989e-28	1.72176482703309	0.698	0.053	3.42484251226749e-89
margin	hpf4.3	osr1	2	1.43415933956683	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000014091	zf-C2H2	1.3649514217467	0.509	0.022	4.94067128457645e-19	1.41628891701128	0.509	0.009	7.77797841076022e-97
margin	hpf4.3	tbx16	1	0.791433052039794	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000007329	T-box	1.79292767264877	1	0.754	4.53111395934774e-38	0.593176992118574	1	0.986	1.53116724401529e-22
margin	hpf4.3	eve1	3	0.319758201756164	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000056012	Homeobox	1.11905198852405	0.34	0	1.03357330286576e-12	0.862170320292256	0.34	0.068	2.59954146814283e-16
margin	hpf4.3	sebox	2	0.149170623261412	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000042526	Homeobox	0.916935048843884	0.425	0.016	3.34835054889298e-15	0.922694377265512	0.425	0.003	1.09618263056666e-87
margin	hpf4.3	foxa3	5	-0.0837301478472894	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000012788	Fork_head	0.854700118500516	0.396	0.027	1.41821958395517e-12	0.816470821417153	0.396	0.027	1.06359855917872e-47
margin	hpf4.3	pitx2	7	-0.0932243123665897	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000036194	Homeobox	0.841418877782179	0.406	0.022	1.05953329759697e-13	0.82163524725662	0.406	0.016	2.27743228773574e-61
margin	hpf4.3	xbp1	13	-0.0958738955441102	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000035622	TF_bZIP	0.843319790973737	0.925	0.858	2.9917464915118e-06	0.818121311306805	0.925	0.808	9.1386281373165e-11
margin	hpf4.3	noto	6	-0.123108449863526	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000021201	Homeobox	1.03926996779844	0.84	0.47	2.18430201552284e-11	0.626109019055373	0.84	0.63	5.34632852609935e-06
margin	hpf4.3	id3	11	-0.152141776463605	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000054823	bHLH	0.95612643785235	0.415	0.137	3.18731027698192e-05	0.679484733873714	0.415	0.205	0.000726042138250402
margin	hpf4.3	hes6	4	-0.30105373280074	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000019335	bHLH	1.0250819890606	0.575	0.169	3.96500233123493e-11	0.515468362442938	0.575	0.396	0.0123905663322726
margin	hpf4.3	klf3	3	-0.476913496806021	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000015495	zf-C2H2	0.704984086437789	0.302	0.027	2.88805912808137e-07	0.676601827292553	0.302	0.038	9.52195451379905e-23
margin	hpf4.3	zic2a	8	-0.529099049974802	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000015554	zf-C2H2	0.684205200092415	0.358	0.06	2.19902751346482e-07	0.658839751607318	0.358	0.048	1.46678699494013e-26
margin	hpf4.3	foxa2	5	-0.758888111523492	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000003411	Fork_head	0.58820205517456	0.255	0.016	1.94536903123114e-06	0.584610940256008	0.255	0.006	1.22935974107303e-42
margin	hpf4.3	ets2	3	-1.08826422755926	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000103980	ETS	0.494303516950813	0.264	0.06	0.00732195997460547	0.43958548529525	0.264	0.059	1.24241060762807e-09
margin	hpf4.3	irx3a	7	-1.29633858062172	hpf4.3:margin_hpf3.8:DEL	0.913636363636364	ENSDARG00000101076	Homeobox	0.392501505735853	0.208	0.011	8.24522607900421e-05	0.385512592542224	0.208	0.007	7.87432031313547e-31
dorsal margin involuted	hpf5.3	gsc	5	3.16035657586402	hpf5.3:dorsal margin involuted_hpf4.8:margin	0.834201216141515	ENSDARG00000059073	Homeobox	1.6154214533816	0.988	0.156	2.53699041199944e-50	2.95031185290471	0.988	0.091	1.37110529000181e-201
dorsal margin involuted	hpf5.3	xbp1	13	1.19861781846267	hpf5.3:dorsal margin involuted_hpf4.8:margin	0.834201216141515	ENSDARG00000035622	TF_bZIP	1.05404693094913	1	0.8	2.02292437880802e-35	1.46422916969205	1	0.759	1.95707084573549e-75
dorsal margin involuted	hpf5.3	klf17	4	1.10523292942261	hpf5.3:dorsal margin involuted_hpf4.8:margin	0.834201216141515	ENSDARG00000038792	zf-C2H2	1.0501919074332	0.436	0.108	5.80302257318183e-11	1.35362313684848	0.436	0.068	5.08127521302703e-50
dorsal margin involuted	hpf5.3	foxa3	5	1.00691881048698	hpf5.3:dorsal margin involuted_hpf4.8:margin	0.834201216141515	ENSDARG00000012788	Fork_head	1.01723984897709	0.82	0.216	1.02595307666845e-29	1.28754622252964	0.82	0.151	1.22884642487453e-95
