Species	Symbol	Ensembl	Family	Protein	Entrez ID
Danio_rerio	BX510909.2	ENSDARG00000112884	zf-C2H2	ENSDARP00000153329;	-
Danio_rerio	nkx2	ENSDARG00000039095	Homeobox	ENSDARP00000123711;ENSDARP00000057093;	30698
Danio_rerio	znf1034	ENSDARG00000102994	zf-C2H2	ENSDARP00000139270;	-
Danio_rerio	si:dkey-66i24	ENSDARG00000088084	zf-C2H2	ENSDARP00000108335;	570015
Danio_rerio	znf1171	ENSDARG00000094242	zf-C2H2	ENSDARP00000119036;	-
Danio_rerio	CR352245.2	ENSDARG00000112302	Pou	ENSDARP00000146831;	-
Danio_rerio	vsx1	ENSDARG00000056292	Homeobox	ENSDARP00000073224;ENSDARP00000095102;	30598
Danio_rerio	eomesb	ENSDARG00000104243	T-box	ENSDARP00000141397;	799447
Danio_rerio	si:ch73-138e16	ENSDARG00000040141	zf-C2H2	ENSDARP00000105500;	-
Danio_rerio	pou2f2a	ENSDARG00000019658	Pou	ENSDARP00000049322;ENSDARP00000142486;ENSDARP00000115767;	557055
Danio_rerio	BX005380.2	ENSDARG00000110454	zf-C2H2	ENSDARP00000154592;	-
Danio_rerio	si:dkey-26i24	ENSDARG00000102673	zf-C2H2	ENSDARP00000135684;ENSDARP00000133717;	100191016
Danio_rerio	gfi1aa	ENSDARG00000020746	zf-C2H2	ENSDARP00000017502;ENSDARP00000147922;	553814
Danio_rerio	fosab	ENSDARG00000031683	TF_bZIP	ENSDARP00000043297;	394198
Danio_rerio	zfp64	ENSDARG00000061147	zf-C2H2	ENSDARP00000081313;	100003733
Danio_rerio	dlx3b	ENSDARG00000014626	Homeobox	ENSDARP00000022291;	30585
Danio_rerio	nr0b2b	ENSDARG00000102756	Miscellaneous	ENSDARP00000133307;	797815
Danio_rerio	BX324116.3	ENSDARG00000116441	HMG	ENSDARP00000155744;	-
Danio_rerio	foxp1b	ENSDARG00000014181	Fork_head	ENSDARP00000156823;ENSDARP00000064937;ENSDARP00000124020;ENSDARP00000109350;ENSDARP00000136335;ENSDARP00000154863;	569047
Danio_rerio	CR388055.2	ENSDARG00000109672	THAP	ENSDARP00000133034;	-
Danio_rerio	CT027578.1	ENSDARG00000104584	zf-C2H2	ENSDARP00000125327;	-
Danio_rerio	CR388188.1	ENSDARG00000113871	STAT	ENSDARP00000152167;	-
Danio_rerio	tlx1	ENSDARG00000003965	Homeobox	ENSDARP00000003103;	266964
Danio_rerio	CR847936.6	ENSDARG00000110922	THAP	ENSDARP00000145978;	-
Danio_rerio	zgc:165515	ENSDARG00000116300	zf-C2H2	ENSDARP00000146336;	323052
Danio_rerio	si:ch73-236c18	ENSDARG00000096528	zf-C2H2	ENSDARP00000126981;ENSDARP00000155888;	792701
Danio_rerio	si:dkey-149i17	ENSDARG00000094684	zf-C2H2	ENSDARP00000117357;	-
Danio_rerio	si:dkey-7i4	ENSDARG00000095708	zf-C2H2	ENSDARP00000129307;ENSDARP00000149937;ENSDARP00000156098;ENSDARP00000156683;	-
Danio_rerio	shox2	ENSDARG00000075713	Homeobox	ENSDARP00000018280;ENSDARP00000121424;	394171
Danio_rerio	prdm8b	ENSDARG00000054683	zf-C2H2	ENSDARP00000107353;	557162
Danio_rerio	hsf2	ENSDARG00000053097	HSF	ENSDARP00000069555;ENSDARP00000114882;	140427
Danio_rerio	foxo1b	ENSDARG00000061549	Fork_head	ENSDARP00000082331;	567969
Danio_rerio	mntb	ENSDARG00000073988	bHLH	ENSDARP00000098909;ENSDARP00000109832;	556663
Danio_rerio	pbrm1	ENSDARG00000003877	HMG	ENSDARP00000149239;ENSDARP00000136629;ENSDARP00000045970;	565366
Danio_rerio	si:ch211-212k18	ENSDARG00000103316	zf-C2H2	ENSDARP00000130030;	562900
Danio_rerio	BX088692.2	ENSDARG00000110771	SRF	ENSDARP00000156476;	-
Danio_rerio	zgc:113886	ENSDARG00000108812	zf-C2H2	ENSDARP00000069673;	-
