zf_xp_gene	xp_gene	zf_gene
zf_xp_gene_1	LOC100036640	ENSDARG00000074750
zf_xp_gene_2	LOC100036671	ENSDARG00000009299
zf_xp_gene_3	LOC100036725	ENSDARG00000073883
zf_xp_gene_4	LOC100124857	ENSDARG00000041538
zf_xp_gene_5	LOC100124862	ENSDARG00000070494
zf_xp_gene_6	LOC100124969	ENSDARG00000007169
zf_xp_gene_7	LOC100124991	ENSDARG00000071325
zf_xp_gene_8	LOC100125044	ENSDARG00000059466
zf_xp_gene_9	LOC100125044	ENSDARG00000062948
zf_xp_gene_10	LOC100125081	ENSDARG00000068214
zf_xp_gene_11	LOC100127543	ENSDARG00000087556
zf_xp_gene_12	LOC100127584-like	ENSDARG00000055678
zf_xp_gene_13	LOC100127584-like	ENSDARG00000091792
zf_xp_gene_14	LOC100127598	ENSDARG00000005414
zf_xp_gene_15	LOC100127598	ENSDARG00000022668
zf_xp_gene_16	LOC100127792	ENSDARG00000071116
zf_xp_gene_17	LOC100127812	ENSDARG00000101703
zf_xp_gene_18	LOC100127860	ENSDARG00000071345
zf_xp_gene_19	LOC100135092	ENSDARG00000073665
zf_xp_gene_20	LOC100135092	ENSDARG00000035535
zf_xp_gene_21	LOC100135192	ENSDARG00000045273
zf_xp_gene_22	LOC100145023	ENSDARG00000061742
zf_xp_gene_23	LOC100145041	ENSDARG00000052390
zf_xp_gene_24	LOC100145044	ENSDARG00000056427
zf_xp_gene_25	LOC100145118	ENSDARG00000022718
zf_xp_gene_26	LOC100145141	ENSDARG00000062919
zf_xp_gene_27	LOC100145162	ENSDARG00000100965
zf_xp_gene_28	LOC100145209	ENSDARG00000018149
zf_xp_gene_29	LOC100145219	ENSDARG00000013505
zf_xp_gene_30	LOC100145219	ENSDARG00000089055
zf_xp_gene_31	LOC100145241	ENSDARG00000101983
zf_xp_gene_32	LOC100145364	ENSDARG00000093606
zf_xp_gene_33	LOC100145364	ENSDARG00000053058
zf_xp_gene_34	LOC100145466	ENSDARG00000068367
