mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_1	ENSMUSG00000064358	NA	COX3
mm_zf_xp_2	ENSMUSG00000027878	ENSDARG00000043130	LOC100486344
mm_zf_xp_3	ENSMUSG00000027878	ENSDARG00000104329	LOC100486344
mm_zf_xp_4	ENSMUSG00000027879	ENSDARG00000030108	sec22b
mm_zf_xp_5	ENSMUSG00000027879	ENSDARG00000100435	sec22b
mm_zf_xp_6	ENSMUSG00000015947	ENSDARG00000071463	NA
mm_zf_xp_7	ENSMUSG00000015947	ENSDARG00000097702	NA
mm_zf_xp_8	ENSMUSG00000055184	ENSDARG00000070621	NA
mm_zf_xp_9	ENSMUSG00000026425	ENSDARG00000032161	NA
mm_zf_xp_10	ENSMUSG00000055184	ENSDARG00000070621	NA
mm_zf_xp_11	ENSMUSG00000026425	ENSDARG00000032161	NA
mm_zf_xp_12	ENSMUSG00000055184	ENSDARG00000070621	NA
mm_zf_xp_13	ENSMUSG00000028096	ENSDARG00000077983	NA
mm_zf_xp_14	ENSMUSG00000038298	ENSDARG00000022261	NA
mm_zf_xp_15	ENSMUSG00000028098	ENSDARG00000062450	rnf115
mm_zf_xp_16	ENSMUSG00000028098	ENSDARG00000062450	LOC100486909
mm_zf_xp_17	ENSMUSG00000028098	ENSDARG00000062900	rnf115
mm_zf_xp_18	ENSMUSG00000028098	ENSDARG00000062900	LOC100486909
mm_zf_xp_19	ENSMUSG00000028099	ENSDARG00000057562	polr3c
mm_zf_xp_20	ENSMUSG00000028100	ENSDARG00000008014	Xetrov90022471m
mm_zf_xp_21	ENSMUSG00000028101	NA	Xetrov90022469m
mm_zf_xp_22	ENSMUSG00000090210	ENSDARG00000002507	itga10
mm_zf_xp_23	ENSMUSG00000028102	ENSDARG00000069147	pex11b
mm_zf_xp_24	ENSMUSG00000078184	ENSDARG00000016516	NA
mm_zf_xp_25	ENSMUSG00000038374	ENSDARG00000016516	NA
mm_zf_xp_26	ENSMUSG00000049288	NA	LOC100489293
mm_zf_xp_27	ENSMUSG00000049097	NA	ankrd34a
mm_zf_xp_28	ENSMUSG00000038393	ENSDARG00000036107	txnip
mm_zf_xp_29	ENSMUSG00000038393	ENSDARG00000070000	txnip
mm_zf_xp_30	ENSMUSG00000038205	ENSDARG00000067817	prkab2
mm_zf_xp_31	ENSMUSG00000028089	ENSDARG00000015471	NA
mm_zf_xp_32	ENSMUSG00000038256	ENSDARG00000036687	bcl9
mm_zf_xp_33	ENSMUSG00000028093	ENSDARG00000040064	Xetrov90003945m
mm_zf_xp_34	ENSMUSG00000028093	ENSDARG00000040064	acp6
mm_zf_xp_35	ENSMUSG00000057123	NA	gja5
mm_zf_xp_36	ENSMUSG00000049908	NA	gja8
mm_zf_xp_37	ENSMUSG00000028096	ENSDARG00000077983	NA
mm_zf_xp_38	ENSMUSG00000020029	ENSDARG00000045878	NA
mm_zf_xp_39	ENSMUSG00000020029	ENSDARG00000057767	NA
mm_zf_xp_40	ENSMUSG00000038170	NA	pde4dip
mm_zf_xp_41	ENSMUSG00000038170	NA	Xetrov90012327m
mm_zf_xp_42	ENSMUSG00000038170	NA	LOC100488374-like
mm_zf_xp_43	ENSMUSG00000015947	ENSDARG00000071463	NA
mm_zf_xp_44	ENSMUSG00000015947	ENSDARG00000097702	NA
mm_zf_xp_45	ENSMUSG00000081058	ENSDARG00000068941	NA
mm_zf_xp_46	ENSMUSG00000068855	ENSDARG00000098739	NA
mm_zf_xp_47	ENSMUSG00000063689	ENSDARG00000098739	NA
mm_zf_xp_48	ENSMUSG00000015943	ENSDARG00000039915	NA
mm_zf_xp_49	ENSMUSG00000038486	ENSDARG00000059945	sv2a
mm_zf_xp_50	ENSMUSG00000068856	ENSDARG00000018574	sf3b4
mm_zf_xp_51	ENSMUSG00000045934	ENSDARG00000069755	mtmr11
mm_zf_xp_52	ENSMUSG00000038495	ENSDARG00000017220	otud7b
mm_zf_xp_53	ENSMUSG00000015747	ENSDARG00000061180	vps45
