chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr1	3073253	3074322	+	ENSMUSG00000102693	TEC	4933401J01Rik
chr1	3102016	3102125	+	ENSMUSG00000064842	snRNA	Gm26206
chr1	3205901	3671498	-	ENSMUSG00000051951	protein_coding	Xkr4
chr1	3252757	3253236	+	ENSMUSG00000102851	processed_pseudogene	Gm18956
chr1	3365731	3368549	-	ENSMUSG00000103377	TEC	Gm37180
chr1	3375556	3377788	-	ENSMUSG00000104017	TEC	Gm37363
chr1	3464977	3467285	-	ENSMUSG00000103025	TEC	Gm37686
chr1	3466587	3513553	+	ENSMUSG00000089699	antisense	Gm1992
chr1	3512451	3514507	-	ENSMUSG00000103201	TEC	Gm37329
chr1	3531795	3532720	+	ENSMUSG00000103147	processed_pseudogene	Gm7341
chr1	3592892	3595903	-	ENSMUSG00000103161	TEC	Gm38148
chr1	3647309	3658904	-	ENSMUSG00000102331	sense_intronic	Gm19938
chr1	3680155	3681788	+	ENSMUSG00000102348	TEC	Gm10568
chr1	3752010	3754360	+	ENSMUSG00000102592	TEC	Gm38385
chr1	3783876	3783933	-	ENSMUSG00000088333	snRNA	Gm27396
chr1	3905739	3986215	-	ENSMUSG00000102343	lincRNA	Gm37381
chr1	3999557	4409241	-	ENSMUSG00000025900	protein_coding	Rp1
chr1	4256234	4260519	-	ENSMUSG00000102948	processed_pseudogene	Gm6101
chr1	4363346	4364829	-	ENSMUSG00000104123	TEC	Gm37483
chr1	4490931	4497354	-	ENSMUSG00000025902	protein_coding	Sox17
chr1	4496551	4499558	+	ENSMUSG00000104238	processed_transcript	Gm37587
chr1	4522905	4526737	+	ENSMUSG00000102269	processed_pseudogene	Gm7357
chr1	4529017	4529123	+	ENSMUSG00000096126	snRNA	Gm22307
chr1	4534837	4535286	-	ENSMUSG00000103003	processed_pseudogene	Gm38076
chr1	4583129	4586252	-	ENSMUSG00000104328	lincRNA	Gm37323
chr1	4610471	4611406	+	ENSMUSG00000102735	processed_pseudogene	Gm7369
chr1	4687934	4689403	-	ENSMUSG00000098104	processed_pseudogene	Gm6085
chr1	4692219	4693424	-	ENSMUSG00000102175	processed_pseudogene	Gm6119
chr1	4723277	4723379	-	ENSMUSG00000088000	snRNA	Gm25493
chr1	4735046	4735676	-	ENSMUSG00000103265	processed_pseudogene	Gm2053
chr1	4771131	4772199	+	ENSMUSG00000103922	processed_pseudogene	Gm6123
chr1	4773206	4785739	-	ENSMUSG00000033845	protein_coding	Mrpl15
chr1	4778063	4779212	-	ENSMUSG00000102275	TEC	Gm37144
chr1	4807788	4848410	+	ENSMUSG00000025903	protein_coding	Lypla1
chr1	4807892	4886770	+	ENSMUSG00000104217	protein_coding	Gm37988
chr1	4857814	4897909	+	ENSMUSG00000033813	protein_coding	Tcea1
chr1	4880049	4880651	-	ENSMUSG00000062588	processed_pseudogene	Gm6104
chr1	4905751	4906861	-	ENSMUSG00000103280	TEC	Gm37277
chr1	4909576	5070285	-	ENSMUSG00000002459	protein_coding	Rgs20
chr1	4927028	4927299	-	ENSMUSG00000091305	processed_pseudogene	Gm17100
chr1	4938576	4940710	-	ENSMUSG00000102653	TEC	Gm37079
chr1	4970857	4976820	+	ENSMUSG00000085623	antisense	Gm16041
chr1	5063060	5064647	+	ENSMUSG00000091665	processed_pseudogene	Gm17101
chr1	5070018	5162529	+	ENSMUSG00000033793	protein_coding	Atp6v1h
chr1	5276106	5277337	-	ENSMUSG00000104352	processed_pseudogene	Gm7182
chr1	5307739	5310017	+	ENSMUSG00000104046	TEC	Gm37567
chr1	5403547	5405578	+	ENSMUSG00000102907	TEC	Gm38264
