Species	Symbol	Ensembl	Family	Protein	Entrez ID
Xenopus_tropicalis	hnf1b	ENSXETG00000008000	Homeobox	ENSXETP00000017532;ENSXETP00000058425;	-
Xenopus_tropicalis	tulp1	ENSXETG00000000422	Tub	ENSXETP00000000899;	-
Xenopus_tropicalis	-	ENSXETG00000003414	zf-C2H2	ENSXETP00000007395;	-
Xenopus_tropicalis	hnf4a	ENSXETG00000001775	RXR-like	ENSXETP00000003688;	-
Xenopus_tropicalis	camta2	ENSXETG00000017389	CG-1	ENSXETP00000037849;	-
Xenopus_tropicalis	-	ENSXETG00000033264	zf-C2H2	ENSXETP00000001440;ENSXETP00000060485;	-
Xenopus_tropicalis	-	ENSXETG00000030294	COE	ENSXETP00000027876;	-
Xenopus_tropicalis	-	ENSXETG00000017373	zf-C2H2	ENSXETP00000037819;ENSXETP00000044947;	-
Xenopus_tropicalis	hoxb4	ENSXETG00000021973	Homeobox	ENSXETP00000047559;	-
Xenopus_tropicalis	znf438	ENSXETG00000011653	zf-C2H2	ENSXETP00000025484;	-
Xenopus_tropicalis	nkx2-8	ENSXETG00000002908	Homeobox	ENSXETP00000006368;	-
Xenopus_tropicalis	smarce1	ENSXETG00000021355	HMG	ENSXETP00000046186;ENSXETP00000060236;	-
Xenopus_tropicalis	elf1	ENSXETG00000018893	ETS	ENSXETP00000040972;	-
Xenopus_tropicalis	nr3c1	ENSXETG00000001879	ESR-like	ENSXETP00000003968;	-
Xenopus_tropicalis	rora	ENSXETG00000021123	THR-like	ENSXETP00000045670;	-
Xenopus_tropicalis	fosl2	ENSXETG00000010208	TF_bZIP	ENSXETP00000022500;	-
Xenopus_tropicalis	aff1	ENSXETG00000019955	AF-4	ENSXETP00000043162;	-
Xenopus_tropicalis	hoxd4	ENSXETG00000001799	Homeobox	ENSXETP00000003765;	-
Xenopus_tropicalis	znf592	ENSXETG00000015294	zf-C2H2	ENSXETP00000063311;ENSXETP00000033472;	-
Xenopus_tropicalis	twist2	ENSXETG00000010663	bHLH	ENSXETP00000023346;	-
Xenopus_tropicalis	sia1	ENSXETG00000009100	Homeobox	ENSXETP00000019965;	-
Xenopus_tropicalis	ascl3	ENSXETG00000026272	bHLH	ENSXETP00000055484;	-
Xenopus_tropicalis	smad6	ENSXETG00000020043	MH1	ENSXETP00000043305;	-
Xenopus_tropicalis	sox10	ENSXETG00000006348	HMG	ENSXETP00000013902;	-
Xenopus_tropicalis	-	ENSXETG00000031125	THAP	ENSXETP00000061104;ENSXETP00000063419;	-
Xenopus_tropicalis	hmx1	ENSXETG00000015419	Homeobox	ENSXETP00000033659;	-
Xenopus_tropicalis	-	ENSXETG00000027160	zf-C2H2	ENSXETP00000044952;	-
Xenopus_tropicalis	hoxb2	ENSXETG00000027353	Homeobox	ENSXETP00000057087;	-
Xenopus_tropicalis	egr4	ENSXETG00000011775	zf-C2H2	ENSXETP00000025758;	-
Xenopus_tropicalis	-	ENSXETG00000010805	zf-C2H2	ENSXETP00000023666;	-
Xenopus_tropicalis	ZBTB20	ENSXETG00000031873	ZBTB	ENSXETP00000060563;ENSXETP00000060563;	-
Xenopus_tropicalis	st18	ENSXETG00000005673	zf-C2HC	ENSXETP00000012512;	-
Xenopus_tropicalis	gli1	ENSXETG00000017144	zf-C2H2	ENSXETP00000037381;	-
Xenopus_tropicalis	FOXP3	ENSXETG00000031498	Fork_head	ENSXETP00000063268;	-
Xenopus_tropicalis	smad9	ENSXETG00000001820	MH1	ENSXETP00000003841;	-
Xenopus_tropicalis	thap4	ENSXETG00000031164	THAP	ENSXETP00000063832;	-
Xenopus_tropicalis	-	ENSXETG00000033055	zf-C2H2	ENSXETP00000015801;ENSXETP00000015815;	-
Xenopus_tropicalis	-	ENSXETG00000002916	zf-BED	ENSXETP00000006388;	-
Xenopus_tropicalis	sox21	ENSXETG00000010955	HMG	ENSXETP00000023945;	-
Xenopus_tropicalis	nfatc2	ENSXETG00000012311	RHD	ENSXETP00000026924;	-
Xenopus_tropicalis	pax1	ENSXETG00000023497	PAX	ENSXETP00000050709;	-
Xenopus_tropicalis	gata2	ENSXETG00000016171	zf-GATA	ENSXETP00000035260;	-
Xenopus_tropicalis	pitx1	ENSXETG00000010401	Homeobox	ENSXETP00000022847;	-
Xenopus_tropicalis	nr2f2	ENSXETG00000022346	RXR-like	ENSXETP00000048333;	-
Xenopus_tropicalis	SP8	ENSXETG00000030115	zf-C2H2	ENSXETP00000058323;	-
Xenopus_tropicalis	-	ENSXETG00000027532	zf-C2H2	ENSXETP00000052350;	-
Xenopus_tropicalis	gfi1	ENSXETG00000023006	zf-C2H2	ENSXETP00000049757;	-
Xenopus_tropicalis	znf277	ENSXETG00000009253	zf-C2H2	ENSXETP00000020316;	-
Xenopus_tropicalis	tfap4	ENSXETG00000033922	bHLH	ENSXETP00000061401;	-
Xenopus_tropicalis	-	ENSXETG00000032534	Homeobox	ENSXETP00000059422;	-
Xenopus_tropicalis	HOXD11	ENSXETG00000032416	Homeobox	ENSXETP00000058465;	-
Xenopus_tropicalis	znf652	ENSXETG00000018641	zf-C2H2	ENSXETP00000040334;ENSXETP00000013570;	-
Xenopus_tropicalis	LHX4	ENSXETG00000034077	Homeobox	ENSXETP00000061059;	-
Xenopus_tropicalis	-	ENSXETG00000032269	LRRFIP	ENSXETP00000055775;	-
Xenopus_tropicalis	cdip1	ENSXETG00000013161	zf-LITAF-like	ENSXETP00000028817;	-
Xenopus_tropicalis	erg	ENSXETG00000023717	ETS	ENSXETP00000051163;	-
Xenopus_tropicalis	MGC145518	ENSXETG00000032392	THAP	ENSXETP00000061713;	-
Xenopus_tropicalis	hoxa7	ENSXETG00000000722	Homeobox	ENSXETP00000001606;	-
Xenopus_tropicalis	zic4	ENSXETG00000015475	zf-C2H2	ENSXETP00000033815;	-
Xenopus_tropicalis	-	ENSXETG00000033441	zf-C2H2	ENSXETP00000059175;ENSXETP00000060497;	-
Xenopus_tropicalis	gatad2b	ENSXETG00000019921	zf-GATA	ENSXETP00000043100;	-
Xenopus_tropicalis	zfp36l2	ENSXETG00000009274	zf-CCCH	ENSXETP00000020367;	-
Xenopus_tropicalis	-	ENSXETG00000031521	RHD	ENSXETP00000061578;	-
Xenopus_tropicalis	arid1a	ENSXETG00000020695	ARID	ENSXETP00000044722;	-
Xenopus_tropicalis	gata5	ENSXETG00000005127	zf-GATA	ENSXETP00000011150;	-
Xenopus_tropicalis	tp53	ENSXETG00000025055	P53	ENSXETP00000053761;ENSXETP00000053759;	-
Xenopus_tropicalis	ELF3	ENSXETG00000031510	ETS	ENSXETP00000060398;	-
Xenopus_tropicalis	hey1	ENSXETG00000007864	bHLH	ENSXETP00000017194;	-
Xenopus_tropicalis	znf577	ENSXETG00000009586	zf-C2H2	ENSXETP00000021139;	-
Xenopus_tropicalis	foxe1	ENSXETG00000024889	Fork_head	ENSXETP00000053508;	-
Xenopus_tropicalis	-	ENSXETG00000012440	zf-C2H2	ENSXETP00000027202;	-
Xenopus_tropicalis	hoxb3	ENSXETG00000021967	Homeobox	ENSXETP00000047547;	-
Xenopus_tropicalis	irf4	ENSXETG00000011413	IRF	ENSXETP00000024911;	-
