mm_zf_gene	zf_gene	mm_gene
mm_zf_gene_1	ENSDARG00000002968	ENSMUSG00000052595
mm_zf_gene_2	ENSDARG00000056314	ENSMUSG00000059908
mm_zf_gene_3	ENSDARG00000056314	ENSMUSG00000047228
mm_zf_gene_4	ENSDARG00000056314	ENSMUSG00000030359
mm_zf_gene_5	ENSDARG00000056314	ENSMUSG00000030131
mm_zf_gene_6	ENSDARG00000056314	ENSMUSG00000108022
mm_zf_gene_7	ENSDARG00000102274	ENSMUSG00000036678
mm_zf_gene_8	ENSDARG00000012468	ENSMUSG00000029482
mm_zf_gene_9	ENSDARG00000063621	ENSMUSG00000027761
mm_zf_gene_10	ENSDARG00000044802	ENSMUSG00000078506
mm_zf_gene_11	ENSDARG00000011410	ENSMUSG00000057228
mm_zf_gene_12	ENSDARG00000041170	ENSMUSG00000037257
mm_zf_gene_13	ENSDARG00000011855	ENSMUSG00000057230
mm_zf_gene_14	ENSDARG00000103957	ENSMUSG00000035642
mm_zf_gene_15	ENSDARG00000045019	ENSMUSG00000006299
mm_zf_gene_16	ENSDARG00000036567	ENSMUSG00000020804
mm_zf_gene_17	ENSDARG00000018658	ENSMUSG00000027628
mm_zf_gene_18	ENSDARG00000069142	ENSMUSG00000031960
mm_zf_gene_19	ENSDARG00000107385	ENSMUSG00000023938
mm_zf_gene_20	ENSDARG00000015747	ENSMUSG00000097239
mm_zf_gene_21	ENSDARG00000015747	ENSMUSG00000075528
mm_zf_gene_22	ENSDARG00000022730	ENSMUSG00000055923
mm_zf_gene_23	ENSDARG00000037501	ENSMUSG00000025894
mm_zf_gene_24	ENSDARG00000051816	ENSMUSG00000029695
mm_zf_gene_25	ENSDARG00000025467	ENSMUSG00000018697
mm_zf_gene_26	ENSDARG00000006031	ENSMUSG00000057880
mm_zf_gene_27	ENSDARG00000074749	ENSMUSG00000050296
mm_zf_gene_28	ENSDARG00000013500	ENSMUSG00000026944
mm_zf_gene_29	ENSDARG00000100524	ENSMUSG00000024130
mm_zf_gene_30	ENSDARG00000057169	ENSMUSG00000028125
mm_zf_gene_31	ENSDARG00000062661	ENSMUSG00000028125
mm_zf_gene_32	ENSDARG00000074041	ENSMUSG00000041828
mm_zf_gene_33	ENSDARG00000074041	ENSMUSG00000035435
mm_zf_gene_34	ENSDARG00000074041	ENSMUSG00000062017
mm_zf_gene_35	ENSDARG00000074041	ENSMUSG00000004668
mm_zf_gene_36	ENSDARG00000074041	ENSMUSG00000054746
mm_zf_gene_37	ENSDARG00000074041	ENSMUSG00000051900
mm_zf_gene_38	ENSDARG00000074041	ENSMUSG00000041797
mm_zf_gene_39	ENSDARG00000074041	ENSMUSG00000020620
mm_zf_gene_40	ENSDARG00000074041	ENSMUSG00000044749
mm_zf_gene_41	ENSDARG00000061591	ENSMUSG00000031974
mm_zf_gene_42	ENSDARG00000070078	ENSMUSG00000027048
mm_zf_gene_43	ENSDARG00000010936	ENSMUSG00000042476
mm_zf_gene_44	ENSDARG00000063297	ENSMUSG00000026198
mm_zf_gene_45	ENSDARG00000074254	ENSMUSG00000026198
mm_zf_gene_46	ENSDARG00000062795	ENSMUSG00000031333
mm_zf_gene_47	ENSDARG00000056672	ENSMUSG00000028973
mm_zf_gene_48	ENSDARG00000056200	ENSMUSG00000029408
mm_zf_gene_49	ENSDARG00000104719	ENSMUSG00000023088
mm_zf_gene_50	ENSDARG00000077988	ENSMUSG00000032842
mm_zf_gene_51	ENSDARG00000013050	ENSMUSG00000036872
mm_zf_gene_52	ENSDARG00000014031	ENSMUSG00000030834
mm_zf_gene_53	ENSDARG00000058953	ENSMUSG00000032849
mm_zf_gene_54	ENSDARG00000061233	ENSMUSG00000022822
mm_zf_gene_55	ENSDARG00000016750	ENSMUSG00000032842
mm_zf_gene_56	ENSDARG00000051879	ENSMUSG00000040136
mm_zf_gene_57	ENSDARG00000015985	ENSMUSG00000030249
mm_zf_gene_58	ENSDARG00000074876	ENSMUSG00000031378
mm_zf_gene_59	ENSDARG00000104085	ENSMUSG00000028127
mm_zf_gene_60	ENSDARG00000002947	ENSMUSG00000028127
mm_zf_gene_61	ENSDARG00000061770	ENSMUSG00000021240
mm_zf_gene_62	ENSDARG00000007216	ENSMUSG00000058355
mm_zf_gene_63	ENSDARG00000031795	ENSMUSG00000038762
mm_zf_gene_64	ENSDARG00000038785	ENSMUSG00000028953
mm_zf_gene_65	ENSDARG00000089705	ENSMUSG00000003234
mm_zf_gene_66	ENSDARG00000063475	ENSMUSG00000024030
mm_zf_gene_67	ENSDARG00000100075	ENSMUSG00000029802
mm_zf_gene_68	ENSDARG00000079361	ENSMUSG00000029299
mm_zf_gene_69	ENSDARG00000016818	ENSMUSG00000029802
mm_zf_gene_70	ENSDARG00000078068	ENSMUSG00000032131
mm_zf_gene_71	ENSDARG00000063078	ENSMUSG00000040505
mm_zf_gene_72	ENSDARG00000063059	ENSMUSG00000024254
mm_zf_gene_73	ENSDARG00000076435	ENSMUSG00000033157
mm_zf_gene_74	ENSDARG00000069501	ENSMUSG00000040532
mm_zf_gene_75	ENSDARG00000071004	ENSMUSG00000032046
mm_zf_gene_76	ENSDARG00000071004	ENSMUSG00000090121
mm_zf_gene_77	ENSDARG00000071004	ENSMUSG00000055882
mm_zf_gene_78	ENSDARG00000059209	ENSMUSG00000040396
mm_zf_gene_79	ENSDARG00000058367	ENSMUSG00000042210
mm_zf_gene_80	ENSDARG00000100531	ENSMUSG00000042073
mm_zf_gene_81	ENSDARG00000078929	ENSMUSG00000007036
mm_zf_gene_82	ENSDARG00000091433	ENSMUSG00000003346
mm_zf_gene_83	ENSDARG00000043084	ENSMUSG00000003346
mm_zf_gene_84	ENSDARG00000035571	ENSMUSG00000047368
mm_zf_gene_85	ENSDARG00000025797	ENSMUSG00000039202
mm_zf_gene_86	ENSDARG00000045804	ENSMUSG00000039202
mm_zf_gene_87	ENSDARG00000018809	ENSMUSG00000002475
mm_zf_gene_88	ENSDARG00000102887	ENSMUSG00000040997
mm_zf_gene_89	ENSDARG00000060756	ENSMUSG00000025277
mm_zf_gene_90	ENSDARG00000070894	ENSMUSG00000025277
mm_zf_gene_91	ENSDARG00000103518	ENSMUSG00000007950
mm_zf_gene_92	ENSDARG00000010155	ENSMUSG00000058835
mm_zf_gene_93	ENSDARG00000062991	ENSMUSG00000058835
mm_zf_gene_94	ENSDARG00000058207	ENSMUSG00000026782
mm_zf_gene_95	ENSDARG00000014875	ENSMUSG00000026782
mm_zf_gene_96	ENSDARG00000063283	ENSMUSG00000018381
mm_zf_gene_97	ENSDARG00000071095	ENSMUSG00000035258
mm_zf_gene_98	ENSDARG00000035187	ENSMUSG00000026842
mm_zf_gene_99	ENSDARG00000013841	ENSMUSG00000026596
mm_zf_gene_100	ENSDARG00000055223	ENSMUSG00000029095
mm_zf_gene_101	ENSDARG00000088168	ENSMUSG00000032735
mm_zf_gene_102	ENSDARG00000019207	ENSMUSG00000026829
mm_zf_gene_103	ENSDARG00000033854	ENSMUSG00000042895
mm_zf_gene_104	ENSDARG00000042876	ENSMUSG00000078453
mm_zf_gene_105	ENSDARG00000043666	ENSMUSG00000036376
mm_zf_gene_106	ENSDARG00000063354	ENSMUSG00000030083
mm_zf_gene_107	ENSDARG00000062000	ENSMUSG00000032724
mm_zf_gene_108	ENSDARG00000004687	ENSMUSG00000010651
mm_zf_gene_109	ENSDARG00000004687	ENSMUSG00000036138
mm_zf_gene_110	ENSDARG00000038881	ENSMUSG00000036880
mm_zf_gene_111	ENSDARG00000061994	ENSMUSG00000042010
mm_zf_gene_112	ENSDARG00000045411	ENSMUSG00000090150
mm_zf_gene_113	ENSDARG00000042658	ENSMUSG00000031969
mm_zf_gene_114	ENSDARG00000055620	ENSMUSG00000027710
mm_zf_gene_115	ENSDARG00000088357	ENSMUSG00000026003
mm_zf_gene_116	ENSDARG00000038900	ENSMUSG00000062908
mm_zf_gene_117	ENSDARG00000030781	ENSMUSG00000029545
mm_zf_gene_118	ENSDARG00000076780	ENSMUSG00000030861
mm_zf_gene_119	ENSDARG00000016687	ENSMUSG00000018574
mm_zf_gene_120	ENSDARG00000035891	ENSMUSG00000030607
mm_zf_gene_121	ENSDARG00000045799	ENSMUSG00000030607
mm_zf_gene_122	ENSDARG00000056346	ENSMUSG00000001588
mm_zf_gene_123	ENSDARG00000060783	ENSMUSG00000049076
mm_zf_gene_124	ENSDARG00000075990	ENSMUSG00000029033
mm_zf_gene_125	ENSDARG00000099240	ENSMUSG00000029033
mm_zf_gene_126	ENSDARG00000045888	ENSMUSG00000032047
mm_zf_gene_127	ENSDARG00000007127	ENSMUSG00000023832
mm_zf_gene_128	ENSDARG00000007127	ENSMUSG00000062480
mm_zf_gene_129	ENSDARG00000042623	ENSMUSG00000026499
mm_zf_gene_130	ENSDARG00000027070	ENSMUSG00000056938
mm_zf_gene_131	ENSDARG00000034883	ENSMUSG00000026781
mm_zf_gene_132	ENSDARG00000039456	ENSMUSG00000033701
mm_zf_gene_133	ENSDARG00000094730	ENSMUSG00000026644
mm_zf_gene_134	ENSDARG00000052124	ENSMUSG00000040272
mm_zf_gene_135	ENSDARG00000078055	ENSMUSG00000038000
mm_zf_gene_136	ENSDARG00000016918	ENSMUSG00000015405
mm_zf_gene_137	ENSDARG00000010347	ENSMUSG00000045019
mm_zf_gene_138	ENSDARG00000077782	ENSMUSG00000038007
mm_zf_gene_139	ENSDARG00000093366	ENSMUSG00000030760
mm_zf_gene_140	ENSDARG00000031796	ENSMUSG00000023328
mm_zf_gene_141	ENSDARG00000054290	ENSMUSG00000022185
mm_zf_gene_142	ENSDARG00000026842	ENSMUSG00000022185
mm_zf_gene_143	ENSDARG00000058179	ENSMUSG00000044337
mm_zf_gene_144	ENSDARG00000078729	ENSMUSG00000079355
mm_zf_gene_145	ENSDARG00000040133	ENSMUSG00000079355
mm_zf_gene_146	ENSDARG00000099079	ENSMUSG00000020917
mm_zf_gene_147	ENSDARG00000055652	ENSMUSG00000020917
mm_zf_gene_148	ENSDARG00000062549	ENSMUSG00000026348
mm_zf_gene_149	ENSDARG00000026376	ENSMUSG00000028405
mm_zf_gene_150	ENSDARG00000007294	ENSMUSG00000022477
mm_zf_gene_151	ENSDARG00000058229	ENSMUSG00000034853
mm_zf_gene_152	ENSDARG00000042122	ENSMUSG00000034853
mm_zf_gene_153	ENSDARG00000061728	ENSMUSG00000006717
mm_zf_gene_154	ENSDARG00000018653	ENSMUSG00000028937
mm_zf_gene_155	ENSDARG00000014138	ENSMUSG00000017307
mm_zf_gene_156	ENSDARG00000058352	ENSMUSG00000025287
mm_zf_gene_157	ENSDARG00000058352	ENSMUSG00000047565
mm_zf_gene_158	ENSDARG00000058390	ENSMUSG00000025287
mm_zf_gene_159	ENSDARG00000058390	ENSMUSG00000047565
mm_zf_gene_160	ENSDARG00000014727	ENSMUSG00000020777
mm_zf_gene_161	ENSDARG00000038865	ENSMUSG00000029098
mm_zf_gene_162	ENSDARG00000020149	ENSMUSG00000027380
mm_zf_gene_163	ENSDARG00000007244	ENSMUSG00000002103
mm_zf_gene_164	ENSDARG00000019763	ENSMUSG00000001348
mm_zf_gene_165	ENSDARG00000040064	ENSMUSG00000028093
mm_zf_gene_166	ENSDARG00000062077	ENSMUSG00000032281
mm_zf_gene_167	ENSDARG00000004094	ENSMUSG00000024207
mm_zf_gene_168	ENSDARG00000061201	ENSMUSG00000076435
mm_zf_gene_169	ENSDARG00000030514	ENSMUSG00000018796
