mm_xp_gene	xp_gene	mm_gene
mm_xp_gene_1	COX3	ENSMUSG00000064358
mm_xp_gene_2	LOC100036636	ENSMUSG00000045319
mm_xp_gene_3	LOC100036640	ENSMUSG00000074994
mm_xp_gene_4	LOC100036671	ENSMUSG00000037887
mm_xp_gene_5	LOC100036701	ENSMUSG00000058881
mm_xp_gene_6	LOC100036725	ENSMUSG00000008153
mm_xp_gene_7	LOC100124801	ENSMUSG00000024817
mm_xp_gene_8	LOC100124857	ENSMUSG00000040269
mm_xp_gene_9	LOC100124862	ENSMUSG00000029231
mm_xp_gene_10	LOC100124969	ENSMUSG00000062352
mm_xp_gene_11	LOC100124991	ENSMUSG00000035640
mm_xp_gene_12	LOC100125044	ENSMUSG00000029636
mm_xp_gene_13	LOC100125081	ENSMUSG00000063015
mm_xp_gene_14	LOC100127543	ENSMUSG00000037196
mm_xp_gene_15	LOC100127584-like	ENSMUSG00000038587
mm_xp_gene_16	LOC100127598	ENSMUSG00000004837
mm_xp_gene_17	LOC100127792	ENSMUSG00000036611
mm_xp_gene_18	LOC100127812	ENSMUSG00000057068
mm_xp_gene_19	LOC100127850	ENSMUSG00000024248
mm_xp_gene_20	LOC100127860	ENSMUSG00000074604
mm_xp_gene_21	LOC100135092	ENSMUSG00000021549
mm_xp_gene_22	LOC100135159	ENSMUSG00000026433
mm_xp_gene_23	LOC100135192	ENSMUSG00000024168
mm_xp_gene_24	LOC100135278	ENSMUSG00000033916
mm_xp_gene_25	LOC100144990	ENSMUSG00000025558
mm_xp_gene_26	LOC100145023	ENSMUSG00000061028
mm_xp_gene_27	LOC100145041	ENSMUSG00000034111
mm_xp_gene_28	LOC100145044	ENSMUSG00000029673
mm_xp_gene_29	LOC100145112	ENSMUSG00000078440
mm_xp_gene_30	LOC100145118	ENSMUSG00000028282
mm_xp_gene_31	LOC100145141	ENSMUSG00000028619
mm_xp_gene_32	LOC100145162	ENSMUSG00000029505
mm_xp_gene_33	LOC100145209	ENSMUSG00000022464
mm_xp_gene_34	LOC100145219	ENSMUSG00000029203
mm_xp_gene_35	LOC100145241	ENSMUSG00000004591
mm_xp_gene_36	LOC100145338	ENSMUSG00000037318
mm_xp_gene_37	LOC100145466	ENSMUSG00000023947
mm_xp_gene_38	LOC100145479	ENSMUSG00000024277
mm_xp_gene_39	LOC100145489	ENSMUSG00000020611
mm_xp_gene_40	LOC100145523	ENSMUSG00000020241
mm_xp_gene_41	LOC100145576	ENSMUSG00000029397
mm_xp_gene_42	LOC100145581	ENSMUSG00000054477
mm_xp_gene_43	LOC100145689	ENSMUSG00000031753
mm_xp_gene_44	LOC100145714	ENSMUSG00000078762
mm_xp_gene_45	LOC100145748	ENSMUSG00000059851
mm_xp_gene_46	LOC100145754	ENSMUSG00000068284
mm_xp_gene_47	LOC100158464	ENSMUSG00000030603
mm_xp_gene_48	LOC100158546	ENSMUSG00000035632
mm_xp_gene_49	LOC100158551	ENSMUSG00000030924
mm_xp_gene_50	LOC100158552	ENSMUSG00000010453
mm_xp_gene_51	LOC100158563	ENSMUSG00000032834
mm_xp_gene_52	LOC100158618	ENSMUSG00000030814
mm_xp_gene_53	LOC100170494	ENSMUSG00000019467
mm_xp_gene_54	LOC100170502	ENSMUSG00000027867
mm_xp_gene_55	LOC100216088	ENSMUSG00000028760
mm_xp_gene_56	LOC100216126	ENSMUSG00000009108
mm_xp_gene_57	LOC100216149	ENSMUSG00000032842
mm_xp_gene_58	LOC100216261-like	ENSMUSG00000025081
mm_xp_gene_59	LOC100216277	ENSMUSG00000030034
mm_xp_gene_60	LOC100327245	ENSMUSG00000004896
mm_xp_gene_61	LOC100484998-like	ENSMUSG00000027022
mm_xp_gene_62	LOC100485002	ENSMUSG00000028003
mm_xp_gene_63	LOC100485003	ENSMUSG00000059763
mm_xp_gene_64	LOC100485014	ENSMUSG00000009073
mm_xp_gene_65	LOC100485035	ENSMUSG00000026407
mm_xp_gene_66	LOC100485039-like	ENSMUSG00000075033
mm_xp_gene_67	LOC100485050	ENSMUSG00000025480
mm_xp_gene_68	LOC100485061	ENSMUSG00000030741
mm_xp_gene_69	LOC100485074	ENSMUSG00000053216
mm_xp_gene_70	LOC100485082	ENSMUSG00000031788
mm_xp_gene_71	LOC100485091	ENSMUSG00000063354
mm_xp_gene_72	LOC100485105	ENSMUSG00000040205
